image_path,font
prudentia_herba_decorus_8fa9e210.jpg,vesta
salus_concordia_nubes_a8be0a38.jpg,vesta
tempus_arbor_sapor_b6bf900d.jpg,vesta
altus_constantia_sapor_93266b7c.jpg,vesta
bellum_fortis_claritas_59599435.jpg,vesta
pax_imber_sensus_16ff12e3.jpg,vesta
sapientia_decorus_sensus_ba5f7944.jpg,vesta
caelum_mors_anima_9b08ed50.jpg,vesta
mors_sensus_triumphus_80d8aa97.jpg,vesta
amor_arbor_formosus_1575a7c8.jpg,vesta
figura_mors_gloria_9fbf1034.jpg,vesta
audacia_aer_mors_34b42b26.jpg,vesta
formosus_spiritus_dignitas_120c9d6f.jpg,vesta
nubes_luna_caelum_26ab18ea.jpg,vesta
natura_ratio_caligo_b2524d29.jpg,vesta
fortis_flamma_nubes_9dd9666a.jpg,vesta
luna_lux_spes_3ba4df8f.jpg,vesta
triumphus_flos_fortuna_5165d9de.jpg,vesta
tempestas_caelum_probitas_1cebacbd.jpg,vesta
pax_ordo_aqua_8f95340f.jpg,vesta
tempus_dignitas_furor_d49ed176.jpg,vesta
terra_voluntas_pax_8b8ddcda.jpg,vesta
sapientia_memoria_terra_5e4f719a.jpg,vesta
mors_imber_claritas_0a8b76de.jpg,vesta
libertas_constantia_sol_aeaabf9b.jpg,vesta
libertas_victoria_voluntas_163d2dd6.jpg,vesta
audacia_gloria_pulcher_b3f9013e.jpg,vesta
imago_sapientia_caligo_2798839c.jpg,vesta
statera_fides_cor_d53346f7.jpg,vesta
umbra_pax_caelum_6e39be7f.jpg,vesta
sol_figura_statera_1d9a023b.jpg,vesta
aqua_virtus_iustitia_d6c73b54.jpg,vesta
anima_ratio_fama_a47262f2.jpg,vesta
oratio_fortis_corpus_a71f1163.jpg,vesta
virtus_pluvia_iustitia_d97b5cde.jpg,vesta
bellum_scientia_labor_74c92ad3.jpg,vesta
decorus_herba_mens_8f23da85.jpg,vesta
statera_cantus_natura_023bd207.jpg,vesta
corpus_arbor_umbra_88272a93.jpg,vesta
memoria_dexteritas_figura_8af061ce.jpg,vesta
fortitudo_scientia_corpus_49a16824.jpg,vesta
bellum_gravis_fortitudo_b0c13566.jpg,vesta
celeritas_virtus_caligo_5896f9c3.jpg,vesta
claritas_honor_pax_b0419d37.jpg,vesta
voluntas_altus_pulcher_542c6d04.jpg,vesta
dignitas_benignus_color_1e0ff3a7.jpg,vesta
corpus_regnum_ignis_5881523a.jpg,vesta
tempus_benignus_color_b0cc40fc.jpg,vesta
fides_umbra_voluptas_385a807f.jpg,vesta
chorus_salus_prudentia_87e06dbf.jpg,vesta
cantus_fides_terra_b26535eb.jpg,vesta
clarus_caelum_decorus_4341ebfa.jpg,vesta
fortitudo_benignus_bellum_5a69fe2f.jpg,vesta
color_amicitia_clarus_baf6d6f2.jpg,vesta
cantus_concordia_clarus_73035b90.jpg,vesta
gloria_aer_imperium_7bb5c56c.jpg,vesta
prudentia_arbor_amicitia_2934ae99.jpg,vesta
ars_statera_tempus_361428c8.jpg,vesta
fortitudo_audacia_pulcher_5241c519.jpg,vesta
sonus_cantus_memoria_6ffeda43.jpg,vesta
flos_gloria_regnum_fb2a255b.jpg,vesta
scientia_sol_dignitas_fe228839.jpg,vesta
celeritas_figura_stella_d231e5e2.jpg,vesta
celeritas_fides_terra_394604a9.jpg,vesta
amicitia_regnum_voluntas_5309214c.jpg,vesta
ratio_luna_formosus_d1f7fa2d.jpg,vesta
amicitia_amor_ratio_b81c88fb.jpg,vesta
honestas_umbra_ars_06194027.jpg,vesta
mens_sensus_labor_fd03bcb9.jpg,vesta
tempus_pulcher_virtus_e052ae88.jpg,vesta
spiritus_figura_victoria_59d342b0.jpg,vesta
victoria_aura_audacia_4842c70a.jpg,vesta
pluvia_constantia_fides_13c7730b.jpg,vesta
flos_arbor_fides_ae944315.jpg,vesta
furor_arbor_gemma_c4e60908.jpg,vesta
ars_mens_ignobilis_c2b1d267.jpg,vesta
nubes_ignis_arbor_058e75db.jpg,vesta
flos_decorus_vita_e3f1f76a.jpg,vesta
dexteritas_veritas_honor_0ea92f2b.jpg,vesta
natura_celeritas_fama_4775b7c8.jpg,vesta
fortitudo_natura_color_18f275af.jpg,vesta
honestas_lex_natura_e338467e.jpg,vesta
gravis_pax_imago_2e457849.jpg,vesta
dignitas_vigor_ordo_9a56cbce.jpg,vesta
terra_salus_arbor_c55cd96a.jpg,vesta
sensus_spiritus_regnum_27bca227.jpg,vesta
ordo_imperium_fortis_e9f0b554.jpg,vesta
cantus_serenus_pulcher_59704259.jpg,vesta
fortis_clarus_memoria_d1c9b0db.jpg,vesta
sapor_nix_spiritus_3ddca2aa.jpg,vesta
fortis_sapor_audacia_1398191b.jpg,vesta
prudentia_ignis_dexteritas_1a3776fa.jpg,vesta
dignitas_audacia_lex_caef18ac.jpg,vesta
ratio_color_fama_c7041d09.jpg,vesta
caligo_veritas_spes_2846e315.jpg,vesta
nix_fulgor_mors_66d2e151.jpg,vesta
levis_labor_honor_d67db738.jpg,vesta
scientia_pulcher_flamma_bf13dbaf.jpg,vesta
tempestas_ratio_lex_2704155e.jpg,vesta
figura_spiritus_celeritas_b00552b0.jpg,vesta
prudentia_ventus_scientia_d6fdee29.jpg,vesta
levis_color_formosus_a2fffee2.jpg,vesta
vigor_vita_iustitia_1fbf46df.jpg,vesta
fides_sapientia_verbum_b5779eec.jpg,vesta
statera_formosus_figura_bdb4325e.jpg,vesta
voluptas_herba_labor_b929b979.jpg,vesta
sol_lux_chorus_822bfb0d.jpg,vesta
fortuna_imago_altus_ad8a7d9b.jpg,vesta
spes_ars_sapientia_54dcf026.jpg,vesta
verbum_vigor_herba_1c0b671e.jpg,vesta
salus_gravis_veritas_850752eb.jpg,vesta
sapientia_natura_imber_788232e1.jpg,vesta
amor_fortitudo_gloria_d631f35e.jpg,vesta
sonus_fortuna_ars_64fa3900.jpg,vesta
ventus_decorus_bellum_ec652d45.jpg,vesta
claritas_sol_nubes_c37139ba.jpg,vesta
mens_imber_clarus_52b9f0de.jpg,vesta
fortitudo_altus_decorus_6036718b.jpg,vesta
benignus_prudentia_sol_6c572cc7.jpg,vesta
lux_fulgor_furor_a72e1700.jpg,vesta
ordo_libertas_virtus_53bf1ac8.jpg,aureus
clarus_natura_victoria_ecb1bcb1.jpg,aureus
caligo_fortis_amor_593d15ce.jpg,aureus
corpus_statera_constantia_c3ea5e83.jpg,aureus
fortitudo_amicitia_fortis_bc1168f5.jpg,aureus
constantia_herba_nobilitas_062d2d6b.jpg,aureus
ventus_vita_concordia_71f72eee.jpg,aureus
ventus_imago_pulcher_70604e73.jpg,aureus
terra_bellum_honestas_87309134.jpg,aureus
flos_chorus_arbor_d2098162.jpg,aureus
altus_decorus_terra_29627420.jpg,aureus
aura_veritas_aqua_4bc8dfec.jpg,aureus
concordia_salus_mors_ff2ddf82.jpg,aureus
pluvia_celeritas_memoria_baa903fc.jpg,aureus
lex_levis_imago_a55e51f5.jpg,aureus
nobilitas_herba_ignobilis_243b8d2c.jpg,aureus
fulgor_figura_fortuna_62dc1422.jpg,aureus
voluptas_concordia_stella_98eaee31.jpg,aureus
clarus_sol_ordo_b3509a5b.jpg,aureus
triumphus_bellum_voluntas_6834069a.jpg,aureus
pax_honestas_voluptas_a9e42089.jpg,aureus
ignobilis_ventus_tempus_b0a47dad.jpg,aureus
victoria_amicitia_prudentia_772cf79c.jpg,aureus
aer_pulcher_serenus_f5cadcf5.jpg,aureus
honor_scientia_altus_f4b234fa.jpg,aureus
verbum_luna_arbor_be70353f.jpg,aureus
aer_salus_mors_a65ba262.jpg,aureus
fulgor_herba_imber_219b0176.jpg,aureus
dignitas_natura_verus_16fb7914.jpg,aureus
audacia_honestas_scientia_5d13bc10.jpg,aureus
nubes_verus_fortis_96a50682.jpg,aureus
sol_fulgor_fides_2ed786ae.jpg,aureus
victoria_caligo_altus_14ea7ce2.jpg,aureus
lex_bellum_sol_2ef3d7ba.jpg,aureus
constantia_oratio_iustitia_007ce9f2.jpg,aureus
